IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia
6655,Particolato Totale Sospeso,µg/m³,555,Busto Arsizio - via Magenta,222,VA,Busto Arsizio,S,25/05/1991,19/06/2006,5050810,488313,45.610736040012604,8.850115752092071,"(45.610736040012604, 8.850115752092071)",1,1
5698,Biossido di Zolfo,µg/m³,604,Tavazzano,85,LO,Tavazzano con Villavesco,N,13/01/2000,,5019734,532492,45.33036100181227,9.414644726627262,"(45.33036100181227, 9.414644726627262)",11,11
12587,Ossidi di Azoto,µg/m³,1303,Cremona - via Gerre Borghi,36,CR,Cremona,S,14/10/2011,01/01/2017,4995675,584111,45.10953938027215,10.069230734956498,"(45.10953938027215, 10.069230734956498)",8,8
6827,Biossido di Zolfo,µg/m³,657,Lonato,180,BS,Lonato del Garda,S,16/02/1990,18/08/2004,5035536,615762,45.463753136210265,10.480772043571283,"(45.463753136210265, 10.480772043571283)",6,6
5740,Ozono,µg/m³,567,Chiavenna,333,SO,Chiavenna,S,30/05/1996,01/01/2018,5129768,530454,46.320803497826546,9.395590913257395,"(46.320803497826546, 9.395590913257395)",3,3
6412,Ossidi di Azoto,µg/m³,627,Cremona - p.zza Cadorna,39,CR,Cremona,N,01/01/2002,,4998110,579872,45.13194691285173,10.015741513336042,"(45.13194691285173, 10.015741513336042)",8,8
10390,PM10 (SM2005),µg/m³,556,Gallarate - P.zza S.Lorenzo,240,VA,Gallarate,S,01/01/2003,30/07/2018,5056010,484229,45.65745982503037,8.797570832831466,"(45.65745982503037, 8.797570832831466)",1,1
6362,Ossidi di Azoto,µg/m³,519,Tribiano $,94,MI,Tribiano,S,17/09/1993,13/04/2006,5028070,529033,45.40554635277101,9.370994067584798,"(45.40554635277101, 9.370994067584798)",4,4
6236,Ossidi di Azoto,µg/m³,563,Fino Mornasco,304,CO,Fino Mornasco,S,09/01/1992,30/07/2018,5066055,503313,45.74804440954574,9.042592844183936,"(45.74804440954574, 9.042592844183936)",2,2
10451,Ossidi di Azoto,µg/m³,1265,Lodi - S. Alberto,76,LO,Lodi,N,03/08/2009,,5016706,538829,45.302783503095775,9.495273696926324,"(45.302783503095775, 9.495273696926324)",11,11
10023,Monossido di Carbonio,mg/m³,685,Calusco d' Adda,273,BG,Calusco d'Adda,N,30/06/2006,,5059767,537706,45.69042907854514,9.484260927647789,"(45.69042907854514, 9.484260927647789)",5,5
5615,Biossido di Zolfo,µg/m³,512,Carate Brianza,250,MB,Carate Brianza,S,27/10/1994,21/10/2003,5057635,518272,45.672024734078455,9.234591661788048,"(45.672024734078455, 9.234591661788048)",12,12
5837,Monossido di Carbonio,mg/m³,513,Trezzo d`Adda,199,MI,Trezzo sull'Adda,S,22/02/2001,01/01/2017,5051253,539618,45.61369175877737,9.50812248390592,"(45.61369175877737, 9.50812248390592)",4,4
10291,Ammoniaca,µg/m³,681,Moggio,1194,LC,Moggio,N,17/03/2007,,5084478,538586,45.91278752030292,9.497538167653424,"(45.91278752030292, 9.497538167653424)",10,10
5827,Monossido di Carbonio,mg/m³,501,Milano - viale Marche,129,MI,Milano,N,05/04/1989,,5038105,514918,45.49631644365102,9.190933555313624,"(45.49631644365102, 9.190933555313624)",4,4
10087,Benzene,µg/m³,696,Monzambano - campo sportivo,88,MN,Monzambano,S,01/12/2006,01/01/2017,5027572,632338,45.38915354023782,10.690576265072083,"(45.38915354023782, 10.690576265072083)",9,9
10197,Particelle sospese PM2.5,µg/m³,697,Borgofranco - loc. Bonizzo,14,MN,Borgofranco sul Po,S,01/12/2006,,4990430,671752,45.04650153816735,11.18093581912755,"(45.04650153816735, 11.18093581912755)",9,9
5724,Ozono,µg/m³,513,Trezzo d`Adda,199,MI,Trezzo sull'Adda,S,22/02/2001,01/01/2017,5051253,539618,45.61369175877737,9.50812248390592,"(45.61369175877737, 9.50812248390592)",4,4
6832,Ozono,µg/m³,657,Lonato,180,BS,Lonato del Garda,N,14/03/2004,,5035536,615762,45.463753136210265,10.480772043571283,"(45.463753136210265, 10.480772043571283)",6,6
5674,Biossido di Zolfo,µg/m³,588,Tavernola Bergamasca,191,BG,Tavernola Bergamasca,S,09/08/1990,12/09/2011,5063058,581311,45.71629992411727,10.044765999368437,"(45.71629992411727, 10.044765999368437)",5,5
