Subject,ZCTA5 10472,,,ZCTA5 11428,,,ZCTA5 11432,,,ZCTA5 11226,,,ZCTA5 11416,,,ZCTA5 10452,,,ZCTA5 11436,,,ZCTA5 11208,,,ZCTA5 10031,,,ZCTA5 11433,,,ZCTA5 11203,,,ZCTA5 11236,,,ZCTA5 11377,,,ZCTA5 10468,,,ZCTA5 11421,,,ZCTA5 11691,,,ZCTA5 11237,,,ZCTA5 11219,,,ZCTA5 11411,,,ZCTA5 11232,,,ZCTA5 11429,,,ZCTA5 11373,,,ZCTA5 11372,,,ZCTA5 11369,,,ZCTA5 11368,,
,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct
S1. HOUSEHOLDS BY TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Total households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total population,68796,+/- 1716,,18929,+/- 861,,62053,+/- 2158,,100277,+/- 2755,,27125,+/- 1152,,76078,+/- 1927,,20077,+/- 917,,98660,+/- 2227,,60254,+/- 2086,,36489,+/- 1610,,75451,+/- 1976,,100331,+/- 2339,,86421,+/- 2690,,78647,+/- 2135,,41002,+/- 1295,,67094,+/- 2785,,49310,+/- 1833,,90036,+/- 2709,,20759,+/- 771,,27602,+/- 1461,,27403,+/- 1261,,93967,+/- 2535,,61844,+/- 2482,,34118,+/- 1408,,112425,+/- 3121,
  Household population,68020,+/- 1704,98.9,18907,+/- 861,99.9,57420,+/- 2112,92.5,99490,+/- 2709,99.2,27041,+/- 1154,99.7,75296,+/- 1944,99,19827,+/- 889,98.8,98022,+/- 2224,99.4,59717,+/- 2068,99.1,36351,+/- 1611,99.6,73720,+/- 1921,97.7,98763,+/- 2346,98.4,86112,+/- 2685,99.6,77278,+/- 2075,98.3,40978,+/- 1296,99.9,64353,+/- 2734,95.9,47841,+/- 1844,97,88946,+/- 2690,98.8,20735,+/- 770,99.9,25586,+/- 972,92.7,27274,+/- 1268,99.5,93601,+/- 2523,99.6,61536,+/- 2484,99.5,33106,+/- 1412,97,111709,+/- 3110,99.4
    Living in family households,59833,+/- 2029,88,17850,+/- 867,94.4,49777,+/- 2167,86.7,80226,+/- 3034,80.6,25332,+/- 1255,93.7,64769,+/- 2254,86,18140,+/- 943,91.5,86692,+/- 2545,88.4,40525,+/- 2455,67.9,32867,+/- 1709,90.4,62983,+/- 2145,85.4,88629,+/- 2588,89.7,69375,+/- 2851,80.6,67382,+/- 2360,87.2,37672,+/- 1336,91.9,57016,+/- 2902,88.6,33085,+/- 2104,69.2,82142,+/- 2761,92.4,19043,+/- 804,91.8,21017,+/- 1036,82.1,25433,+/- 1383,93.2,78665,+/- 2803,84,48058,+/- 2768,78.1,29217,+/- 1436,88.3,101657,+/- 3657,91
    Living in nonfamily households,8187,+/- 699,12,1057,+/- 230,5.6,7643,+/- 624,13.3,19264,+/- 1072,19.4,1709,+/- 283,6.3,10527,+/- 813,14,1687,+/- 326,8.5,11330,+/- 894,11.6,19192,+/- 1585,32.1,3484,+/- 350,9.6,10737,+/- 681,14.6,10134,+/- 601,10.3,16737,+/- 1065,19.4,9896,+/- 722,12.8,3306,+/- 481,8.1,7337,+/- 693,11.4,14756,+/- 1023,30.8,6804,+/- 613,7.6,1692,+/- 196,8.2,4569,+/- 436,17.9,1841,+/- 395,6.8,14936,+/- 1155,16,13478,+/- 1198,21.9,3889,+/- 410,11.7,10052,+/- 1198,9
      Living alone,5550,+/- 3928,83.6,765,+/- 543,87.3,4635,+/- 3308,82.5,11344,+/- 8105,78.3,900,+/- 637,76.1,7646,+/- 5428,87.1,792,+/- 561,72,8160,+/- 5834,86.7,7169,+/- 5114,65.8,2420,+/- 1766,85.7,8308,+/- 6110,89.5,7953,+/- 5759,89.5,9292,+/- 6576,77,7111,+/- 5057,86.6,1919,+/- 1378,79.7,5899,+/- 4196,91.3,3895,+/- 2754,49.8,4455,+/- 3215,83.5,1184,+/- 859,87.4,1822,+/- 1289,60.8,1075,+/- 775,79.7,6497,+/- 4626,68.3,7441,+/- 5267,76.9,2731,+/- 1939,86.8,4330,+/- 3103,71.6
  Living in group quarters,776,+/- 299,1.1,22,+/- 9,0.1,4633,+/- 507,7.5,787,+/- 341,0.8,84,+/- 47,0.3,782,+/- 250,1,250,+/- 188,1.2,638,+/- 186,0.6,537,+/- 282,0.9,138,+/- 67,0.4,1731,+/- 339,2.3,1568,+/- 422,1.6,309,+/- 134,0.4,1369,+/- 384,1.7,24,+/- 12,0.1,2741,+/- 348,4.1,1469,+/- 325,3,1090,+/- 308,1.2,24,+/- 18,0.1,2016,+/- 1195,7.3,129,+/- 42,0.5,366,+/- 144,0.4,308,+/- 113,0.5,1012,+/- 278,3,716,+/- 187,0.6
S3. RELATIONSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Household population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household population,68020,+/- 1704,98.9,18907,+/- 861,99.9,57420,+/- 2112,92.5,99490,+/- 2709,99.2,27041,+/- 1154,99.7,75296,+/- 1944,99,19827,+/- 889,98.8,98022,+/- 2224,99.4,59717,+/- 2068,99.1,36351,+/- 1611,99.6,73720,+/- 1921,97.7,98763,+/- 2346,98.4,86112,+/- 2685,99.6,77278,+/- 2075,98.3,40978,+/- 1296,99.9,64353,+/- 2734,95.9,47841,+/- 1844,97,88946,+/- 2690,98.8,20735,+/- 770,99.9,25586,+/- 972,92.7,27274,+/- 1268,99.5,93601,+/- 2523,99.6,61536,+/- 2484,99.5,33106,+/- 1412,97,111709,+/- 3110,99.4
  Householder,21887,+/- 714,32.2,5558,+/- 238,29.4,18547,+/- 649,32.3,36733,+/- 1010,36.9,7217,+/- 298,26.7,26126,+/- 765,34.7,5581,+/- 251,28.1,32181,+/- 899,32.8,21959,+/- 850,36.8,10519,+/- 424,28.9,27761,+/- 792,37.7,33282,+/- 799,33.7,31400,+/- 902,36.5,26338,+/- 850,34.1,11638,+/- 402,28.4,20594,+/- 779,32,16740,+/- 662,35,24430,+/- 651,27.5,6270,+/- 232,30.2,8812,+/- 381,34.4,7340,+/- 355,26.9,30285,+/- 828,32.4,23814,+/- 977,38.7,10294,+/- 417,31.1,28502,+/- 992,25.5
